,,,vgg16_filter_13_conv_0,0.075 s,,resnet50_channel_6c_conv_1,0.024 s,,xception_filter_13_1x1_conv_1,0.028 s,,,,,,
,,,vgg16_filter_13_conv_1,0.077 s,,resnet50_channel_6c_conv_2,0.028 s,,xception_filter_13_1x1_conv_2,0.029 s,,,,,,
,,,vgg16_filter_13_conv_2,0.079 s,,resnet50_channel_7a_conv_0,0.052 s,,xception_filter_14_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_7a_conv_1,0.052 s,,xception_filter_14_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_7a_conv_2,0.051 s,,xception_filter_14_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_7b_conv_0,0.041 s,,xception_filter_14_1x1_conv_0,0.028 s,,,,,,
,,,,,,resnet50_channel_7b_conv_1,0.038 s,,xception_filter_14_1x1_conv_1,0.028 s,,,,,,
,,,,,,resnet50_channel_7b_conv_2,0.039 s,,xception_filter_14_1x1_conv_2,0.037 s,,,,,,
,,,,,,resnet50_channel_7c_conv_0,0.025 s,,xception_filter_15_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_7c_conv_1,0.026 s,,xception_filter_15_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_7c_conv_2,0.030 s,,xception_filter_15_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_8a_conv_0,0.052 s,,xception_filter_15_1x1_conv_0,0.035 s,,,,,,
,,,,,,resnet50_channel_8a_conv_1,0.050 s,,xception_filter_15_1x1_conv_1,0.035 s,,,,,,
,,,,,,resnet50_channel_8a_conv_2,0.051 s,,xception_filter_15_1x1_conv_2,0.029 s,,,,,,
,,,,,,resnet50_channel_8b_conv_0,0.039 s,,xception_filter_16_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_8b_conv_1,0.039 s,,xception_filter_16_dconv_1,0.015 s,,,,,,
,,,,,,resnet50_channel_8b_conv_2,0.040 s,,xception_filter_16_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_8c_conv_0,0.027 s,,xception_filter_16_1x1_conv_0,0.029 s,,,,,,
,,,,,,resnet50_channel_8c_conv_1,0.029 s,,xception_filter_16_1x1_conv_1,0.040 s,,,,,,
,,,,,,resnet50_channel_8c_conv_2,0.027 s,,xception_filter_16_1x1_conv_2,0.039 s,,,,,,
,,,,,,resnet50_channel_9a_conv_0,0.044 s,,xception_filter_17_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_9a_conv_1,0.046 s,,xception_filter_17_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_9a_conv_2,0.046 s,,xception_filter_17_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_9v_conv_0,0.030 s,,xception_filter_17_1x1_conv_0,0.029 s,,,,,,
,,,,,,resnet50_channel_9v_conv_1,0.029 s,,xception_filter_17_1x1_conv_1,0.028 s,,,,,,
,,,,,,resnet50_channel_9v_conv_2,0.029 s,,xception_filter_17_1x1_conv_2,0.036 s,,,,,,
,,,,,,resnet50_channel_9c_conv_0,0.021 s,,xception_filter_18_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_9c_conv_1,0.023 s,,xception_filter_18_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_9c_conv_2,0.025 s,,xception_filter_18_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_9s_conv_0,0.065 s,,xception_filter_18_1x1_conv_0,0.039 s,,,,,,
,,,,,,resnet50_channel_9s_conv_1,0.068 s,,xception_filter_18_1x1_conv_1,0.032 s,,,,,,
,,,,,,resnet50_channel_9s_conv_2,0.049 s,,xception_filter_18_1x1_conv_2,0.028 s,,,,,,
,,,,,,resnet50_channel_10a_conv_0,0.034 s,,xception_filter_19_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_10a_conv_1,0.034 s,,xception_filter_19_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_10a_conv_2,0.032 s,,xception_filter_19_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_10b_conv_0,0.029 s,,xception_filter_19_1x1_conv_0,0.034 s,,,,,,
,,,,,,resnet50_channel_10b_conv_1,0.031 s,,xception_filter_19_1x1_conv_1,0.040 s,,,,,,
,,,,,,resnet50_channel_10b_conv_2,0.034 s,,xception_filter_19_1x1_conv_2,0.041 s,,,,,,
,,,,,,resnet50_channel_10c_conv_0,0.022 s,,xception_filter_20_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_10c_conv_1,0.024 s,,xception_filter_20_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_10c_conv_2,0.024 s,,xception_filter_20_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_11a_conv_0,0.033 s,,xception_filter_20_1x1_conv_0,0.029 s,,,,,,
,,,,,,resnet50_channel_11a_conv_1,0.033 s,,xception_filter_20_1x1_conv_1,0.030 s,,,,,,
,,,,,,resnet50_channel_11a_conv_2,0.034 s,,xception_filter_20_1x1_conv_2,0.035 s,,,,,,
,,,,,,resnet50_channel_11b_conv_0,0.032 s,,xception_filter_21_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_11b_conv_1,0.031 s,,xception_filter_21_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_11b_conv_2,0.032 s,,xception_filter_21_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_11c_conv_0,0.020 s,,xception_filter_21_1x1_conv_0,0.039 s,,,,,,
,,,,,,resnet50_channel_11c_conv_1,0.022 s,,xception_filter_21_1x1_conv_1,0.040 s,,,,,,
,,,,,,resnet50_channel_11c_conv_2,0.024 s,,xception_filter_21_1x1_conv_2,0.036 s,,,,,,
,,,,,,resnet50_channel_12a_conv_0,0.033 s,,xception_filter_22_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_12a_conv_1,0.032 s,,xception_filter_22_dconv_1,0.016 s,,,,,,
,,,,,,resnet50_channel_12a_conv_2,0.032 s,,xception_filter_22_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_12b_conv_0,0.031 s,,xception_filter_22_1x1_conv_0,0.039 s,,,,,,
,,,,,,resnet50_channel_12b_conv_1,0.029 s,,xception_filter_22_1x1_conv_1,0.038 s,,,,,,
,,,,,,resnet50_channel_12b_conv_2,0.029 s,,xception_filter_22_1x1_conv_2,0.029 s,,,,,,
,,,,,,resnet50_channel_12c_conv_0,0.020 s,,xception_filter_23_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_12c_conv_1,0.023 s,,xception_filter_23_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_12c_conv_2,0.022 s,,xception_filter_23_dconv_2,0.009 s,,,,,,
,,,,,,resnet50_channel_13a_conv_0,0.034 s,,xception_filter_23_1x1_conv_0,0.029 s,,,,,,
,,,,,,resnet50_channel_13a_conv_1,0.034 s,,xception_filter_23_1x1_conv_1,0.037 s,,,,,,
,,,,,,resnet50_channel_13a_conv_2,0.034 s,,xception_filter_23_1x1_conv_2,0.039 s,,,,,,
,,,,,,resnet50_channel_13b_conv_0,0.031 s,,xception_filter_24_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_13b_conv_1,0.032 s,,xception_filter_24_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_13b_conv_2,0.032 s,,xception_filter_24_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_13c_conv_0,0.023 s,,xception_filter_24_1x1_conv_0,0.040 s,,,,,,
,,,,,,resnet50_channel_13c_conv_1,0.022 s,,xception_filter_24_1x1_conv_1,0.035 s,,,,,,
,,,,,,resnet50_channel_13c_conv_2,0.021 s,,xception_filter_24_1x1_conv_2,0.034 s,,,,,,
,,,,,,resnet50_channel_14a_conv_0,0.032 s,,xception_filter_25_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_14a_conv_1,0.032 s,,xception_filter_25_dconv_1,0.011 s,,,,,,
,,,,,,resnet50_channel_14a_conv_2,0.036 s,,xception_filter_25_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_14b_conv_0,0.032 s,,xception_filter_25_1x1_conv_0,0.028 s,,,,,,
,,,,,,resnet50_channel_14b_conv_1,0.031 s,,xception_filter_25_1x1_conv_1,0.029 s,,,,,,
,,,,,,resnet50_channel_14b_conv_2,0.034 s,,xception_filter_25_1x1_conv_2,0.029 s,,,,,,
,,,,,,resnet50_channel_14c_conv_0,0.023 s,,xception_filter_26_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_14c_conv_1,0.024 s,,xception_filter_26_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_14c_conv_2,0.025 s,,xception_filter_26_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_15a_conv_0,0.028 s,,xception_filter_26_1x1_conv_0,0.029 s,,,,,,
,,,,,,resnet50_channel_15a_conv_1,0.028 s,,xception_filter_26_1x1_conv_1,0.029 s,,,,,,
,,,,,,resnet50_channel_15a_conv_2,0.030 s,,xception_filter_26_1x1_conv_2,0.029 s,,,,,,
,,,,,,resnet50_channel_15v_conv_0,0.031 s,,xception_filter_27_dconv_0,0.008 s,,,,,,
,,,,,,resnet50_channel_15v_conv_1,0.031 s,,xception_filter_27_dconv_1,0.009 s,,,,,,
,,,,,,resnet50_channel_15v_conv_2,0.033 s,,xception_filter_27_dconv_2,0.009 s,,,,,,
,,,,,,resnet50_channel_15c_conv_0,0.020 s,,xception_filter_27_1x1_conv_0,0.031 s,,,,,,
,,,,,,resnet50_channel_15c_conv_1,0.019 s,,xception_filter_27_1x1_conv_1,0.029 s,,,,,,
,,,,,,resnet50_channel_15c_conv_2,0.021 s,,xception_filter_27_1x1_conv_2,0.035 s,,,,,,
,,,,,,resnet50_channel_15s_conv_0,0.049 s,,xception_filter_28_dconv_0,0.009 s,,,,,,
,,,,,,resnet50_channel_15s_conv_1,0.046 s,,xception_filter_28_dconv_1,0.010 s,,,,,,
,,,,,,resnet50_channel_15s_conv_2,0.045 s,,xception_filter_28_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_16a_conv_0,0.024 s,,xception_filter_28_1x1_conv_0,0.028 s,,,,,,
,,,,,,resnet50_channel_16a_conv_1,0.024 s,,xception_filter_28_1x1_conv_1,0.030 s,,,,,,
,,,,,,resnet50_channel_16a_conv_2,0.024 s,,xception_filter_28_1x1_conv_2,0.029 s,,,,,,
,,,,,,resnet50_channel_16b_conv_0,0.032 s,,xception_filter_29_dconv_0,0.009 s,,,,,,
,,,,,,resnet50_channel_16b_conv_1,0.035 s,,xception_filter_29_dconv_1,0.008 s,,,,,,
,,,,,,resnet50_channel_16b_conv_2,0.035 s,,xception_filter_29_dconv_2,0.008 s,,,,,,
,,,,,,resnet50_channel_16c_conv_0,0.021 s,,xception_filter_29_1x1_conv_0,0.032 s,,,,,,
